index,Value
01-01-2020,48.13543
02-01-2020,48.1635143
03-01-2020,48.1915986
04-01-2020,48.21968289
05-01-2020,48.24776719
06-01-2020,48.27585149
07-01-2020,48.30393579
08-01-2020,48.33202008
09-01-2020,48.36010438
10-01-2020,48.38818868
11-01-2020,48.41627298
12-01-2020,48.44435727
13-01-2020,48.47244157
14-01-2020,48.50052587
15-01-2020,48.52861017
16-01-2020,48.55669447
17-01-2020,48.58477876
18-01-2020,48.61286306
19-01-2020,48.64094736
20-01-2020,48.66903166
21-01-2020,48.69711595
22-01-2020,48.72520025
23-01-2020,48.75328455
24-01-2020,48.78136885
25-01-2020,48.80945314
26-01-2020,48.83753744
27-01-2020,48.86562174
28-01-2020,48.89370604
29-01-2020,48.92179034
30-01-2020,48.94987463
31-01-2020,48.97795893
01-02-2020,92.64916
02-02-2020,92.64856277
03-02-2020,92.64796554
04-02-2020,92.64736831
05-02-2020,92.64677108
06-02-2020,92.64617385
07-02-2020,92.64557662
08-02-2020,92.64497939
09-02-2020,92.64438216
10-02-2020,92.64378494
11-02-2020,92.64318771
12-02-2020,92.64259048
13-02-2020,92.64199325
14-02-2020,92.64139602
15-02-2020,92.64079879
16-02-2020,92.64020156
17-02-2020,92.63960433
18-02-2020,92.6390071
19-02-2020,92.63840987
20-02-2020,92.63781264
21-02-2020,92.63721541
22-02-2020,92.63661818
23-02-2020,92.63602095
24-02-2020,92.63542372
25-02-2020,92.63482649
26-02-2020,92.63422927
27-02-2020,92.63363204
28-02-2020,92.63303481
29-02-2020,92.63243758
01-03-2020,110.09843
02-03-2020,110.0865897
03-03-2020,110.0747494
04-03-2020,110.0629091
05-03-2020,110.0510687
06-03-2020,110.0392284
07-03-2020,110.0273881
08-03-2020,110.0155478
09-03-2020,110.0037075
10-03-2020,109.9918672
11-03-2020,109.9800268
12-03-2020,109.9681865
13-03-2020,109.9563462
14-03-2020,109.9445059
15-03-2020,109.9326656
16-03-2020,109.9208253
17-03-2020,109.9089849
18-03-2020,109.8971446
19-03-2020,109.8853043
20-03-2020,109.873464
21-03-2020,109.8616237
22-03-2020,109.8497834
23-03-2020,109.8379431
24-03-2020,109.8261027
25-03-2020,109.8142624
26-03-2020,109.8024221
27-03-2020,109.7905818
28-03-2020,109.7787415
29-03-2020,109.7669012
30-03-2020,109.7550608
31-03-2020,109.7432205
01-04-2020,160.8216
02-04-2020,160.7770772
03-04-2020,160.7325545
04-04-2020,160.6880317
05-04-2020,160.6435089
06-04-2020,160.5989861
07-04-2020,160.5544634
08-04-2020,160.5099406
09-04-2020,160.4654178
10-04-2020,160.4208951
11-04-2020,160.3763723
12-04-2020,160.3318495
13-04-2020,160.2873268
14-04-2020,160.242804
15-04-2020,160.1982812
16-04-2020,160.1537584
17-04-2020,160.1092357
18-04-2020,160.0647129
19-04-2020,160.0201901
20-04-2020,159.9756674
21-04-2020,159.9311446
22-04-2020,159.8866218
23-04-2020,159.842099
24-04-2020,159.7975763
25-04-2020,159.7530535
26-04-2020,159.7085307
27-04-2020,159.664008
28-04-2020,159.6194852
29-04-2020,159.5749624
30-04-2020,159.5304397
01-05-2020,167.75021
02-05-2020,167.7012229
03-05-2020,167.6522358
04-05-2020,167.6032488
05-05-2020,167.5542617
06-05-2020,167.5052746
07-05-2020,167.4562875
08-05-2020,167.4073004
09-05-2020,167.3583134
10-05-2020,167.3093263
11-05-2020,167.2603392
12-05-2020,167.2113521
13-05-2020,167.162365
14-05-2020,167.1133779
15-05-2020,167.0643909
16-05-2020,167.0154038
17-05-2020,166.9664167
18-05-2020,166.9174296
19-05-2020,166.8684425
20-05-2020,166.8194555
21-05-2020,166.7704684
22-05-2020,166.7214813
23-05-2020,166.6724942
24-05-2020,166.6235071
25-05-2020,166.5745201
26-05-2020,166.525533
27-05-2020,166.4765459
28-05-2020,166.4275588
29-05-2020,166.3785717
30-05-2020,166.3295846
31-05-2020,166.2805976
01-06-2020,75.14697
02-06-2020,75.15764995
03-06-2020,75.16832991
04-06-2020,75.17900986
05-06-2020,75.18968982
06-06-2020,75.20036977
07-06-2020,75.21104973
08-06-2020,75.22172968
09-06-2020,75.23240964
10-06-2020,75.24308959
11-06-2020,75.25376955
12-06-2020,75.2644495
13-06-2020,75.27512946
14-06-2020,75.28580941
15-06-2020,75.29648937
16-06-2020,75.30716932
17-06-2020,75.31784928
18-06-2020,75.32852923
19-06-2020,75.33920919
20-06-2020,75.34988914
21-06-2020,75.3605691
22-06-2020,75.37124905
23-06-2020,75.38192901
24-06-2020,75.39260896
25-06-2020,75.40328892
26-06-2020,75.41396887
27-06-2020,75.42464883
28-06-2020,75.43532878
29-06-2020,75.44600874
30-06-2020,75.45668869
01-07-2020,107.75377
02-07-2020,107.7434404
03-07-2020,107.7331108
04-07-2020,107.7227813
05-07-2020,107.7124517
06-07-2020,107.7021221
07-07-2020,107.6917925
08-07-2020,107.6814629
09-07-2020,107.6711334
10-07-2020,107.6608038
11-07-2020,107.6504742
12-07-2020,107.6401446
13-07-2020,107.629815
14-07-2020,107.6194854
15-07-2020,107.6091559
16-07-2020,107.5988263
17-07-2020,107.5884967
18-07-2020,107.5781671
19-07-2020,107.5678375
20-07-2020,107.557508
21-07-2020,107.5471784
22-07-2020,107.5368488
23-07-2020,107.5265192
24-07-2020,107.5161896
25-07-2020,107.5058601
26-07-2020,107.4955305
27-07-2020,107.4852009
28-07-2020,107.4748713
29-07-2020,107.4645417
30-07-2020,107.4542121
31-07-2020,107.4438826
01-08-2020,115.05743
02-08-2020,115.0423945
03-08-2020,115.0273589
04-08-2020,115.0123234
05-08-2020,114.9972878
06-08-2020,114.9822523
07-08-2020,114.9672167
08-08-2020,114.9521812
09-08-2020,114.9371456
10-08-2020,114.9221101
11-08-2020,114.9070745
12-08-2020,114.892039
13-08-2020,114.8770034
14-08-2020,114.8619679
15-08-2020,114.8469323
16-08-2020,114.8318968
17-08-2020,114.8168612
18-08-2020,114.8018257
19-08-2020,114.7867901
20-08-2020,114.7717546
21-08-2020,114.756719
22-08-2020,114.7416835
23-08-2020,114.726648
24-08-2020,114.7116124
25-08-2020,114.6965769
26-08-2020,114.6815413
27-08-2020,114.6665058
28-08-2020,114.6514702
29-08-2020,114.6364347
30-08-2020,114.6213991
31-08-2020,114.6063636
01-09-2020,82.27406
02-09-2020,82.28014776
03-09-2020,82.28623552
04-09-2020,82.29232327
05-09-2020,82.29841103
06-09-2020,82.30449879
07-09-2020,82.31058655
08-09-2020,82.3166743
09-09-2020,82.32276206
10-09-2020,82.32884982
11-09-2020,82.33493758
12-09-2020,82.34102534
13-09-2020,82.34711309
14-09-2020,82.35320085
15-09-2020,82.35928861
16-09-2020,82.36537637
17-09-2020,82.37146412
18-09-2020,82.37755188
19-09-2020,82.38363964
20-09-2020,82.3897274
21-09-2020,82.39581515
22-09-2020,82.40190291
23-09-2020,82.40799067
24-09-2020,82.41407843
25-09-2020,82.42016619
26-09-2020,82.42625394
27-09-2020,82.4323417
28-09-2020,82.43842946
29-09-2020,82.44451722
30-09-2020,82.45060497
01-10-2020,95.48764
02-10-2020,95.48521385
03-10-2020,95.48278771
04-10-2020,95.48036156
05-10-2020,95.47793541
06-10-2020,95.47550927
07-10-2020,95.47308312
08-10-2020,95.47065697
09-10-2020,95.46823082
10-10-2020,95.46580468
11-10-2020,95.46337853
12-10-2020,95.46095238
13-10-2020,95.45852624
14-10-2020,95.45610009
15-10-2020,95.45367394
16-10-2020,95.4512478
17-10-2020,95.44882165
18-10-2020,95.4463955
19-10-2020,95.44396936
20-10-2020,95.44154321
21-10-2020,95.43911706
22-10-2020,95.43669091
23-10-2020,95.43426477
24-10-2020,95.43183862
25-10-2020,95.42941247
26-10-2020,95.42698633
27-10-2020,95.42456018
28-10-2020,95.42213403
29-10-2020,95.41970789
30-10-2020,95.41728174
31-10-2020,95.41485559
01-11-2020,69.49672
02-11-2020,69.51104058
03-11-2020,69.52536116
04-11-2020,69.53968174
05-11-2020,69.55400232
06-11-2020,69.5683229
07-11-2020,69.58264348
08-11-2020,69.59696406
09-11-2020,69.61128464
10-11-2020,69.62560522
11-11-2020,69.6399258
12-11-2020,69.65424638
13-11-2020,69.66856696
14-11-2020,69.68288754
15-11-2020,69.69720812
16-11-2020,69.7115287
17-11-2020,69.72584928
18-11-2020,69.74016986
19-11-2020,69.75449044
20-11-2020,69.76881102
21-11-2020,69.7831316
22-11-2020,69.79745218
23-11-2020,69.81177276
24-11-2020,69.82609334
25-11-2020,69.84041392
26-11-2020,69.8547345
27-11-2020,69.86905508
28-11-2020,69.88337566
29-11-2020,69.89769624
30-11-2020,69.91201682
01-12-2020,69.8785
02-12-2020,69.89257459
03-12-2020,69.90664918
04-12-2020,69.92072376
05-12-2020,69.93479835
06-12-2020,69.94887294
07-12-2020,69.96294753
08-12-2020,69.97702211
09-12-2020,69.9910967
10-12-2020,70.00517129
11-12-2020,70.01924588
12-12-2020,70.03332046
13-12-2020,70.04739505
14-12-2020,70.06146964
15-12-2020,70.07554423
16-12-2020,70.08961881
17-12-2020,70.1036934
18-12-2020,70.11776799
19-12-2020,70.13184258
20-12-2020,70.14591716
21-12-2020,70.15999175
22-12-2020,70.17406634
23-12-2020,70.18814093
24-12-2020,70.20221552
25-12-2020,70.2162901
26-12-2020,70.23036469
27-12-2020,70.24443928
28-12-2020,70.25851387
29-12-2020,70.27258845
30-12-2020,70.28666304
31-12-2020,70.30073763
01-01-2021,83.66126
02-01-2021,83.66645394
03-01-2021,83.67164789
04-01-2021,83.67684183
05-01-2021,83.68203577
06-01-2021,83.68722972
07-01-2021,83.69242366
08-01-2021,83.6976176
09-01-2021,83.70281155
10-01-2021,83.70800549
11-01-2021,83.71319943
12-01-2021,83.71839338
13-01-2021,83.72358732
14-01-2021,83.72878126
15-01-2021,83.73397521
16-01-2021,83.73916915
17-01-2021,83.74436309
18-01-2021,83.74955704
19-01-2021,83.75475098
20-01-2021,83.75994492
21-01-2021,83.76513887
22-01-2021,83.77033281
23-01-2021,83.77552675
24-01-2021,83.7807207
25-01-2021,83.78591464
26-01-2021,83.79110858
27-01-2021,83.79630253
28-01-2021,83.80149647
29-01-2021,83.80669041
30-01-2021,83.81188436
31-01-2021,83.8170783
01-02-2021,51.77739
02-02-2021,51.80312767
03-02-2021,51.82886535
04-02-2021,51.85460302
05-02-2021,51.8803407
06-02-2021,51.90607837
07-02-2021,51.93181604
08-02-2021,51.95755372
09-02-2021,51.98329139
10-02-2021,52.00902907
11-02-2021,52.03476674
12-02-2021,52.06050441
13-02-2021,52.08624209
14-02-2021,52.11197976
15-02-2021,52.13771744
16-02-2021,52.16345511
17-02-2021,52.18919278
18-02-2021,52.21493046
19-02-2021,52.24066813
20-02-2021,52.26640581
21-02-2021,52.29214348
22-02-2021,52.31788115
23-02-2021,52.34361883
24-02-2021,52.3693565
25-02-2021,52.39509418
26-02-2021,52.42083185
27-02-2021,52.44656952
28-02-2021,52.4723072
01-03-2021,40.93234
02-03-2021,40.96506546
03-03-2021,40.99779093
04-03-2021,41.03051639
05-03-2021,41.06324186
06-03-2021,41.09596732
07-03-2021,41.12869278
08-03-2021,41.16141825
09-03-2021,41.19414371
10-03-2021,41.22686918
11-03-2021,41.25959464
12-03-2021,41.2923201
13-03-2021,41.32504557
14-03-2021,41.35777103
15-03-2021,41.39049649
16-03-2021,41.42322196
17-03-2021,41.45594742
18-03-2021,41.48867289
19-03-2021,41.52139835
20-03-2021,41.55412381
21-03-2021,41.58684928
22-03-2021,41.61957474
23-03-2021,41.65230021
24-03-2021,41.68502567
25-03-2021,41.71775113
26-03-2021,41.7504766
27-03-2021,41.78320206
28-03-2021,41.81592753
29-03-2021,41.84865299
30-03-2021,41.88137845
31-03-2021,41.91410392
01-04-2021,78.98832
02-04-2021,78.99652486
03-04-2021,79.00472972
04-04-2021,79.01293457
05-04-2021,79.02113943
06-04-2021,79.02934429
07-04-2021,79.03754915
08-04-2021,79.04575401
09-04-2021,79.05395887
10-04-2021,79.06216372
11-04-2021,79.07036858
12-04-2021,79.07857344
13-04-2021,79.0867783
14-04-2021,79.09498316
15-04-2021,79.10318802
16-04-2021,79.11139287
17-04-2021,79.11959773
18-04-2021,79.12780259
19-04-2021,79.13600745
20-04-2021,79.14421231
21-04-2021,79.15241716
22-04-2021,79.16062202
23-04-2021,79.16882688
24-04-2021,79.17703174
25-04-2021,79.1852366
26-04-2021,79.19344146
27-04-2021,79.20164631
28-04-2021,79.20985117
29-04-2021,79.21805603
30-04-2021,79.22626089
01-05-2021,73.2438
02-05-2021,73.25570622
03-05-2021,73.26761245
04-05-2021,73.27951867
05-05-2021,73.2914249
06-05-2021,73.30333112
07-05-2021,73.31523735
08-05-2021,73.32714357
09-05-2021,73.33904979
10-05-2021,73.35095602
11-05-2021,73.36286224
12-05-2021,73.37476847
13-05-2021,73.38667469
14-05-2021,73.39858091
15-05-2021,73.41048714
16-05-2021,73.42239336
17-05-2021,73.43429959
18-05-2021,73.44620581
19-05-2021,73.45811204
20-05-2021,73.47001826
21-05-2021,73.48192448
22-05-2021,73.49383071
23-05-2021,73.50573693
24-05-2021,73.51764316
25-05-2021,73.52954938
26-05-2021,73.54145561
27-05-2021,73.55336183
28-05-2021,73.56526805
29-05-2021,73.57717428
30-05-2021,73.5890805
31-05-2021,73.60098673
01-06-2021,58.32846
02-06-2021,58.34997662
03-06-2021,58.37149325
04-06-2021,58.39300987
05-06-2021,58.41452649
06-06-2021,58.43604312
07-06-2021,58.45755974
08-06-2021,58.47907637
09-06-2021,58.50059299
10-06-2021,58.52210961
11-06-2021,58.54362624
12-06-2021,58.56514286
13-06-2021,58.58665948
14-06-2021,58.60817611
15-06-2021,58.62969273
16-06-2021,58.65120936
17-06-2021,58.67272598
18-06-2021,58.6942426
19-06-2021,58.71575923
20-06-2021,58.73727585
21-06-2021,58.75879247
22-06-2021,58.7803091
23-06-2021,58.80182572
24-06-2021,58.82334235
25-06-2021,58.84485897
26-06-2021,58.86637559
27-06-2021,58.88789222
28-06-2021,58.90940884
29-06-2021,58.93092546
30-06-2021,58.95244209
01-07-2021,76.85725
02-07-2021,76.86682797
03-07-2021,76.87640594
04-07-2021,76.88598391
05-07-2021,76.89556188
06-07-2021,76.90513985
07-07-2021,76.91471782
08-07-2021,76.92429579
09-07-2021,76.93387376
10-07-2021,76.94345173
11-07-2021,76.9530297
12-07-2021,76.96260767
13-07-2021,76.97218564
14-07-2021,76.98176361
15-07-2021,76.99134159
16-07-2021,77.00091956
17-07-2021,77.01049753
18-07-2021,77.0200755
19-07-2021,77.02965347
20-07-2021,77.03923144
21-07-2021,77.04880941
22-07-2021,77.05838738
23-07-2021,77.06796535
24-07-2021,77.07754332
25-07-2021,77.08712129
26-07-2021,77.09669926
27-07-2021,77.10627723
28-07-2021,77.1158552
29-07-2021,77.12543317
30-07-2021,77.13501114
31-07-2021,77.14458911
01-08-2021,69.15764
02-08-2021,69.17217906
03-08-2021,69.18671812
04-08-2021,69.20125718
05-08-2021,69.21579624
06-08-2021,69.2303353
07-08-2021,69.24487436
08-08-2021,69.25941341
09-08-2021,69.27395247
10-08-2021,69.28849153
11-08-2021,69.30303059
12-08-2021,69.31756965
13-08-2021,69.33210871
14-08-2021,69.34664777
15-08-2021,69.36118683
16-08-2021,69.37572589
17-08-2021,69.39026495
18-08-2021,69.40480401
19-08-2021,69.41934307
20-08-2021,69.43388213
21-08-2021,69.44842119
22-08-2021,69.46296024
23-08-2021,69.4774993
24-08-2021,69.49203836
25-08-2021,69.50657742
26-08-2021,69.52111648
27-08-2021,69.53565554
28-08-2021,69.5501946
29-08-2021,69.56473366
30-08-2021,69.57927272
31-08-2021,69.59381178
01-09-2021,48.91963
02-09-2021,48.94720901
03-09-2021,48.97478803
04-09-2021,49.00236704
05-09-2021,49.02994606
06-09-2021,49.05752507
07-09-2021,49.08510409
08-09-2021,49.1126831
09-09-2021,49.14026211
10-09-2021,49.16784113
11-09-2021,49.19542014
12-09-2021,49.22299916
13-09-2021,49.25057817
14-09-2021,49.27815718
15-09-2021,49.3057362
16-09-2021,49.33331521
17-09-2021,49.36089423
18-09-2021,49.38847324
19-09-2021,49.41605226
20-09-2021,49.44363127
21-09-2021,49.47121028
22-09-2021,49.4987893
23-09-2021,49.52636831
24-09-2021,49.55394733
25-09-2021,49.58152634
26-09-2021,49.60910535
27-09-2021,49.63668437
28-09-2021,49.66426338
29-09-2021,49.6918424
30-09-2021,49.71942141
01-10-2021,39.94633
02-10-2021,39.97969078
03-10-2021,40.01305156
04-10-2021,40.04641234
05-10-2021,40.07977312
06-10-2021,40.1131339
07-10-2021,40.14649468
08-10-2021,40.17985546
09-10-2021,40.21321624
10-10-2021,40.24657702
11-10-2021,40.2799378
12-10-2021,40.31329858
13-10-2021,40.34665936
14-10-2021,40.38002014
15-10-2021,40.41338091
16-10-2021,40.44674169
17-10-2021,40.48010247
18-10-2021,40.51346325
19-10-2021,40.54682403
20-10-2021,40.58018481
21-10-2021,40.61354559
22-10-2021,40.64690637
23-10-2021,40.68026715
24-10-2021,40.71362793
25-10-2021,40.74698871
26-10-2021,40.78034949
27-10-2021,40.81371027
28-10-2021,40.84707105
29-10-2021,40.88043183
30-10-2021,40.91379261
31-10-2021,40.94715339
01-11-2021,23.35276
02-11-2021,23.39681251
03-11-2021,23.44086503
04-11-2021,23.48491754
05-11-2021,23.52897005
06-11-2021,23.57302256
07-11-2021,23.61707508
08-11-2021,23.66112759
09-11-2021,23.7051801
10-11-2021,23.74923262
11-11-2021,23.79328513
12-11-2021,23.83733764
13-11-2021,23.88139015
14-11-2021,23.92544267
15-11-2021,23.96949518
16-11-2021,24.01354769
17-11-2021,24.05760021
18-11-2021,24.10165272
19-11-2021,24.14570523
20-11-2021,24.18975774
21-11-2021,24.23381026
22-11-2021,24.27786277
23-11-2021,24.32191528
24-11-2021,24.3659678
25-11-2021,24.41002031
26-11-2021,24.45407282
27-11-2021,24.49812534
28-11-2021,24.54217785
29-11-2021,24.58623036
30-11-2021,24.63028287
01-12-2021,72.32533
02-12-2021,72.33782802
03-12-2021,72.35032604
04-12-2021,72.36282407
05-12-2021,72.37532209
06-12-2021,72.38782011
07-12-2021,72.40031813
08-12-2021,72.41281615
09-12-2021,72.42531418
10-12-2021,72.4378122
11-12-2021,72.45031022
12-12-2021,72.46280824
13-12-2021,72.47530626
14-12-2021,72.48780428
15-12-2021,72.50030231
16-12-2021,72.51280033
17-12-2021,72.52529835
18-12-2021,72.53779637
19-12-2021,72.55029439
20-12-2021,72.56279242
21-12-2021,72.57529044
22-12-2021,72.58778846
23-12-2021,72.60028648
24-12-2021,72.6127845
25-12-2021,72.62528253
26-12-2021,72.63778055
27-12-2021,72.65027857
28-12-2021,72.66277659
29-12-2021,72.67527461
30-12-2021,72.68777264
31-12-2021,72.70027066
01-01-2022,70.02399
02-01-2022,70.03797084
03-01-2022,70.05195169
04-01-2022,70.06593253
05-01-2022,70.07991338
06-01-2022,70.09389422
07-01-2022,70.10787506
08-01-2022,70.12185591
09-01-2022,70.13583675
10-01-2022,70.1498176
11-01-2022,70.16379844
12-01-2022,70.17777928
13-01-2022,70.19176013
14-01-2022,70.20574097
15-01-2022,70.21972182
16-01-2022,70.23370266
17-01-2022,70.24768351
18-01-2022,70.26166435
19-01-2022,70.27564519
20-01-2022,70.28962604
21-01-2022,70.30360688
22-01-2022,70.31758773
23-01-2022,70.33156857
24-01-2022,70.34554941
25-01-2022,70.35953026
26-01-2022,70.3735111
27-01-2022,70.38749195
28-01-2022,70.40147279
29-01-2022,70.41545363
30-01-2022,70.42943448
31-01-2022,70.44341532
01-02-2022,91.19663
02-02-2022,91.19696868
03-02-2022,91.19730736
04-02-2022,91.19764604
05-02-2022,91.19798472
06-02-2022,91.1983234
07-02-2022,91.19866207
08-02-2022,91.19900075
09-02-2022,91.19933943
10-02-2022,91.19967811
11-02-2022,91.20001679
